marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,180659,RYOOYLVIAHU2A,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,Beauty,3,1,1,N,Y,Everything okay but.....!!,I found everything goes well except the plug. Why the left and right is opposite and I have to put the plug upside down for charging!!! Another flaw is the big noise.,8/31/2015
US,9924936,R3N0F2FKJOMGKK,B00CC7Y0G4,253762851,"remington d3015 ionic ceramic dryer, ionic hair dryer, hair dryer",Beauty,5,3,3,N,Y,"Works great, I use it 5 days a week","Reckon I have had this about a year now, at least 7 months. Works great, I use it 5 days a week, blows hot air, doesnt overheat, isnt to big, came quick, didnt cost much. Get you one, you will like it.",8/30/2015
US,42278060,R1DZKVY1CJF3QP,B00A7JA72U,646926938,"babyliss nano titanium portofino 6600 hair dryer, leopard",Beauty,2,1,1,N,Y,Great drier...........meh,Great product... Took me anywhere between 30-40 mins to blow dry my clients hair with my old blow drier.... With this new one its cut the time in half... It's has lots of power... Great deal... N it's super cute...   Update: 7-8?months later it only blows cold air. I wouldn't recommend this drier for the price they are selling it now. It's rubbish,8/30/2015
US,37151655,R3LY7MANJ71HBW,B004INUY06,303775294,"conair infiniti pro 1875 watt salon performance ac motor styling hair dryer with twist folding handle, blue",Beauty,3,37,38,N,Y,This Conair Is Full of Air,"Not as good as the original Conair 1875. Makeovers and upgrades don't always yield the best results. For instance, this 1875 replica. Lacks the basic functions a blow dryer should have, such as temperature adjustment. There is only a setting for high and low fan speed. Also, in order to use the air only feature with no heat, the cooling button has to be pressed and held down to use this basic function. This causes a person's fingers to get tired, holding a button over using a sliding switch. Then there is the retracted cord that is missing. That was probably the most valuable feature for the original Conair 1875. Made the dryer much more portable. Even useful when not traveling. Now the new 1875 has its cord sprawled all over the bathroom counter. The original is much better. This is slightly smaller with about 10 watts more power and a directional air controller, but overall not worth the investment.",8/27/2015
US,47174340,RLQUFMAV4PDJV,B0009XH6V4,670161917,andis micro turbo hair dryer,Beauty,5,2,2,N,Y,"Petite, but Powerful Performance","This is the 2nd time I bought this little hair dryer because I like it so much. My first one finally bit the dust after about 3 years. It's very small and lightweight--a plus for the suitcase, but still powerful enough to blow dry my hair fast. I have short hair, and this sweet little dryer is all I need to dry and style my hair--no need for a comb or brush. It's no frills--only 2 speeds--high and low. But it does exactly what I need it to, and it does it fast!",8/27/2015
US,48321845,R3L5SKZ80SISVL,B000065DJY,919751065,revlon 1875w volumizing hair dryer,Beauty,2,1,1,N,Y,Diffuser made curls frizzy,The diffuser made my curly hair really frizzy and messy.,8/26/2015
US,14693093,RH1COQMQTTTQK,B00MMRFUG8,127431946,"remington d3190a damage control ceramic hair dryer, ionic dryer, hair dryer, purple",Beauty,3,1,1,Y,N,"Dries my thick, wavy hair quickly and thoroughly","I've owned like 3 or 4 blow driers in my time. I'm not so good about consistently using them because I'm lazy. Well, I also know how harsh blow-drying can be on hair (particularly colored like mine), so I tend to avoid it. But every so often (more so in the winter), I find I need to dry my hair quickly instead of waiting. My last hair dryer died in a blaze of glory - well, actually it more or less fizzled and refused to turn on. So when this popped up in my Vine selection, I selected it.<br /><br />This Remington hair dryer comes with attachments - one, a diffuser, that looks like an alien product (apparently used for curly hair), and a funnel appendage that reminds me of an airplane wind tunnel. I don't have curly hair so I didn't bother with the diffuser (I really wish it had not been included because all it does it take up valuable drawer space), but I did test out the Wind Tunnel (much as I like pretending it's a wind tunnel for miniature airplanes, I would like to know, what is this thing called really?).<br /><br />I love all the settings! My last hair dryer pretty much had hi-lo, hot-cold and that was it. This has 3 heat settings and 2 speeds along with a cold blast setting, allowing for a more controlled drying experience. I found it really dried my thick, wavy hair well (another reason why I hate drying my hair - it usually takes 30 minutes for it to be all dry) and relatively quickly. The Wind Tunnel also helped to ensure nice, smooth, straight hair - the way I like to style my hair.<br /><br />Overall, I'm impressed and pleased. I wish that the diffuser hadn't been included because I have no need for it and the space it takes up BUT I know that those with curly hair may appreciate it.<br /><br />UPDATE 09/18/16: While I still like this product, I have since received a Bio Ionic from Vine, which I like more. The Remington's Cool Burst is far too easily activated when I am drying my hair, a problem I don't have with the Bio Ionic. Therefore, I am taking away 1-star to show this.<br /><br />Brought to you by:<br />*C.S. Light*y: *C.S. Light*",8/25/2015
US,33864168,R2MAVSNJJ62S54,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Beauty,4,2,2,N,Y,Great Hairdryer,"Great Hairdryer, affordable price, delivery was quick, like the packaging and the extra hair drying tips you get by email. Wishing it had a little bit more power in the cool blast but no big deal. Im pleased that I bought this product to replace my old hairdryer which took 20mins to dry my hair, happy to say it has cut the timing of drying my long hair down to 8minutes and leaves my hair smooth enough not to use the GHD hair irons. Only major downside is that it is quite noisy.",8/24/2015
US,47058494,R1VTV0AKB52C9H,B00O0WRO08,486774008,"conair 1875 watt cord keeper 2-in-1 hair dryer, black",Beauty,4,1,1,N,Y,I love this hair dryer,"I love this hair dryer; the available speeds and temperatures are perfect and it's the most quiet hair dryer I've ever owned.  The only drawback for me is the placement of the on-off switch; it's located at the very bottom of the handle so I have to use two hands to turn it on or off.  A better design would be to reverse the placement of the buttons so it could be turned on/off easily with my thumb; currently, the speed/temperature button is easily reached with my thumb, but I don't change that very often.  That is the only reason I didn't give it five stars.  Nevertheless, I still highly recommend it and would buy it again.",8/24/2015
US,139704,R5QPK9FEGOJMS,B0001B86HM,805407843,"conair pro styler bonnet hair dryer, white",Beauty,2,1,1,N,Y,Two Stars,blow holes are only at the top would be great if they were at the sides,8/24/2015
