keyword,score
year,25.97850799560547
product,25.55835723876953
time,25.011762619018555
power wife,20.85944700241089
hairdryer model,18.951599597930908
power level,18.245778560638428
price,17.667083740234375
blowing power,16.16311851143837
volumizing finger diffuser,14.751794248819351
allure button,13.12741768360138
diffuser combo,12.76504573225975
month,12.686555862426758
button position,12.592267632484436
rocker button,12.587506115436554
button interfere,12.407795757055283
speed/temperature button,12.352531522512436
button delivers,12.351224601268768
hand piece,10.67069387435913
thing,10.026325225830078
star customer service,9.622106790542603
hand today,9.54112434387207
customer service problem,9.490748167037964
mother day,9.397869229316711
bathroom space,9.199326276779175
salon brand,8.740870952606201
job,8.665175437927246
lot,8.329447746276855
model number,8.316211640834808
week jojoba oil,8.180978685617447
tool item,7.821691513061523
size comb,7.742455720901489
model footstep,7.69607737660408
bathroom sink,7.6656904220581055
minute,7.265705585479736
style,7.2099289894104
bathroom floor,7.1802955865859985
unit,7.031811714172363
dinky bathroom,6.905749499797821
star rating,6.891210556030273
share bathroom,6.855142563581467
concentrator piece,6.644180774688721
ion technology,5.920987606048584
ac2015 tstudio salon collection,5.894256263971329
round piece,5.712200403213501
money garbage,5.64426863193512
watt blowdryer,5.495098352432251
voltage reader measure,5.193423926830292
fan blade shatter,5.1203983426094055
tool bonnet,4.790653467178345
fan blade,4.748362064361572
order,4.713244915008545
salon industry,4.499275505542755
rear fan,4.498805433511734
voltage selector,4.395431578159332
voltage capability,4.3805360198020935
country trip,4.308166146278381
difference,4.234341144561768
protection technology,4.108461081981659
technology prevents,4.10272079706192
fire needle,4.026640057563782
ion hairdryers,3.9186302423477173
flow output,3.727174699306488
dream blowdryer,3.6666221022605896
glowing fire,3.6553443372249603
blowdryer scary,3.635193109512329
airplane wind tunnel,3.625326693058014
motor,3.6134917736053467
customer service,3.584890127182007
drawer space,3.5516973733901978
side,3.4072399139404297
friend house,3.366955280303955
gold bonnet,3.232536792755127
bonnet connection,3.179035931825638
bonnet opening,3.170581132173538
ac2015c t|studio silk,3.1079728603363037
trap water molecule,3.1056658923625946
ion activation,3.0256747007369995
wind screen,3.002644419670105
wind tunnel,2.9813164472579956
ion presentation,2.9772277176380157
teenager room,2.886456608772278
picture,2.8624298572540283
towel hook,2.5490395426750183
respells water,2.5362769663333893
life span,2.4984770119190216
life saver,2.4949382841587067
circuit breaker protection,2.4713330268859863
daughter,2.404280185699463
outlet,2.340693950653076
description company,2.2747048139572144
reason,2.2519304752349854
option,2.1739959716796875
amount,2.1058425903320312
kind,2.0199999809265137
walmart bargain,2.00446480512619
pamphlet state,1.9642401039600372
summer cottage,1.9211835265159607
t|studio silk,1.9183145761489868
condition night,1.8907777070999146
wattage device,1.882294237613678
