star_rating,word,count
3,work,259
3,cord,184
3,heat,169
3,time,138
3,blow,132
3,air,110
3,speed,104
3,price,100
3,button,90
3,power,79
3,purchase,71
3,model,68
3,conair,64
3,look,62
3,travel,57
3,problem,57
3,size,52
3,unit,51
3,bit,49
3,attachment,48
3,star,46
3,something,45
3,quality,44
3,switch,43
3,feature,41
3,head,40
3,order,39
3,try,36
3,diffuser,36
3,difference,36
3,hand,35
3,feel,35
3,control,35
3,week,34
3,issue,34
3,turn,33
3,style,31
3,plastic,31
3,think,30
3,reason,30
3,nothing,30
3,hold,30
3,cool,30
3,wall,29
3,return,29
3,pay,28
3,hop,28
3,handle,28
3,shot,27
3,retract,27
3,plug,27
3,part,27
3,motor,27
3,length,27
3,bonnet,27
3,weight,26
3,temperature,26
3,others,26
3,money,26
3,item,26
3,fan,26
3,end,26
3,minute,25
3,brand,25
3,wife,24
3,place,24
3,light,24
3,fine,24
3,break,24
3,side,23
3,fact,23
3,design,23
3,color,23
3,change,23
3,smell,22
3,result,22
3,replacement,22
3,medium,22
3,die,22
3,level,21
3,box,21
3,base,21
3,amazon,21
3,stop,20
3,noise,20
3,mount,20
3,ion,20
3,guess,20
3,arm,20
3,warranty,19
3,store,19
3,option,19
3,kind,19
3,bathroom,19
3,thick,18
3,technology,18
3,home,18
3,flow,18
3,cost,18
3,brush,18
3,space,17
3,okay,17
3,need,17
3,fall,17
3,damage,17
3,anything,17
3,works,16
3,volume,16
3,start,16
3,ok,16
3,make,16
3,heavy,16
3,fit,16
3,filter,16
3,remington,15
3,morning,15
3,hang,15
3,find,15
3,daughter,15
3,concentrator,15
3,comb,15
3,watt,14
3,type,14
3,stay,14
3,revlon,14
3,outlet,14
3,mine,14
3,loud,14
3,frizz,14
3,finger,14
3,disappoint,14
3,description,14
3,couple,14
3,trip,13
3,someone,13
3,pros,13
3,position,13
3,night,13
3,everything,13
3,dry,13
3,case,13
3,blower,13
3,room,12
3,roller,12
3,mention,12
3,idea,12
3,help,12
3,function,12
3,cons,12
3,complaint,12
3,voltage,11
3,temp,11
3,piece,11
3,picture,11
3,move,11
3,line,11
3,keep,11
3,curl,11
3,come,11
3,cause,11
3,burn,11
3,wind,10
3,tell,10
3,surprise,10
3,see,10
3,salon,10
3,quieter,10
3,manufacturer,10
3,hotel,10
3,deal,10
3,compare,10
3,company,10
3,wattage,9
3,wait,9
3,version,9
3,value,9
3,tourmaline,9
3,today,9
3,take,9
3,reel,9
3,performance,9
3,people,9
3,number,9
3,hope,9
3,half,9
3,expectation,9
3,expect,9
3,door,9
3,call,9
3,blowdryer,9
3,wish,8
3,trouble,8
3,target,8
3,storage,8
3,sound,8
3,slide,8
3,service,8
3,pull,8
3,pink,8
3,person,8
3,pack,8
3,nozzle,8
3,notice,8
3,noisy,8
3,men,8
3,husband,8
3,grip,8
3,e,8
3,customer,8
3,condition,8
3,worth,7
3,update,7
3,tunnel,7
3,tools,7
3,test,7
3,studio,7
3,spot,7
3,spark,7
3,sort,7
3,show,7
3,send,7
3,point,7
3,placement,7
3,perform,7
3,package,7
3,opinion,7
3,neck,7
3,material,7
3,market,7
3,iron,7
3,hairdryers,7
3,figure,7
3,direction,7
3,counter,7
3,compact,7
3,chi,7
3,cheap,7
3,blast,7
3,amount,7
3,advance,7
3,woman,6
3,water,6
3,tip,6
3,term,6
3,tag,6
3,super,6
3,state,6
3,shop,6
3,shoot,6
3,set,6
3,screw,6
3,sassoon,6
3,round,6
3,research,6
3,recommend,6
3,receive,6
3,rating,6
3,quicker,6
3,push,6
3,phone,6
3,packaging,6
3,mirror,6
3,life,6
3,house,6
3,hose,6
3,hole,6
3,holder,6
3,frizzy,6
3,foot,6
3,floor,6
3,experience,6
3,drying,6
3,dryers,6
3,dries,6
3,drier,6
3,decide,6
3,cut,6
3,consumer,6
3,cold,6
3,care,6
3,bulky,6
3,barrel,6
3,area,6
3,andis,6
3,yes,5
3,warm,5
3,treatment,5
3,stretch,5
3,stand,5
3,smoke,5
3,sit,5
3,shoulder,5
3,shine,5
3,shape,5
3,series,5
3,seller,5
3,section,5
3,search,5
3,rubber,5
3,refund,5
3,quit,5
3,put,5
3,protector,5
3,press,5
3,pop,5
3,pitch,5
3,overheat,5
3,nice,5
3,name,5
3,mom,5
3,mind,5
3,metal,5
3,loop,5
3,lightweight,5
3,let,5
3,instruction,5
3,hi,5
3,height,5
3,guy,5
3,friend,5
3,force,5
3,fire,5
3,everyone,5
3,drawer,5
3,dollar,5
3,device,5
3,course,5
3,converter,5
3,concern,5
3,complain,5
3,comment,5
3,claim,5
3,check,5
3,caution,5
3,bottom,5
3,body,5
3,bag,5
3,baby,5
3,b,5
3,average,5
3,anyone,5
3,age,5
3,adjust,5
3,wrap,4
3,wise,4
3,wire,4
3,win,4
3,well,4
3,waver,4
3,watch,4
3,w,4
3,vent,4
3,velocity,4
3,vanity,4
3,tt3000,4
3,touch,4
3,throw,4
3,thicker,4
3,thats,4
3,tangle,4
3,t3,4
3,stiff,4
3,solution,4
3,socket,4
3,selection,4
3,scent,4
3,sale,4
3,root,4
3,reviewer,4
3,repair,4
3,rate,4
3,range,4
3,pretty,4
3,plenty,4
3,please,4
3,plate,4
3,philips,4
3,pheromone,4
3,oil,4
3,none,4
3,mother,4
3,mode,4
3,meet,4
3,mean,4
3,matter,4
3,manage,4
3,mail,4
3,machine,4
3,luggage,4
3,lock,4
3,location,4
3,learn,4
3,know,4
3,john,4
3,install,4
3,information,4
3,inch,4
3,improvement,4
3,hotter,4
3,hot,4
3,hook,4
3,hardware,4
3,good,4
3,fold,4
3,flimsy,4
3,flaw,4
3,fail,4
3,face,4
3,eye,4
3,extension,4
3,element,4
3,elchim,4
3,effort,4
3,dust,4
3,downgrade,4
3,dimension,4
3,decent,4
3,dc,4
3,date,4
3,convenience,4
3,continue,4
3,connection,4
3,conditioning,4
3,choice,4
3,cheaply,4
3,carry,4
3,cabinet,4
3,buck,4
3,beauty,4
3,bath,4
3,backup,4
3,ask,4
3,advertise,4
3,workout,3
3,word,3
3,wear,3
3,waste,3
3,want,3
3,turbo,3
3,trust,3
3,trap,3
3,tool,3
3,tire,3
3,thought,3
3,tape,3
3,tap,3
3,talk,3
3,suppose,3
3,suction,3
3,styler,3
3,sturdy,3
3,straighten,3
3,stick,3
3,standard,3
3,spring,3
3,spec,3
3,slider,3
3,skin,3
3,site,3
3,silver,3
3,shock,3
3,shell,3
3,shame,3
3,settings,3
3,select,3
3,seem,3
3,saver,3
3,safety,3
3,run,3
3,rocker,3
3,right,3
3,retraction,3
3,rest,3
3,require,3
3,register,3
3,recommendation,3
3,question,3
3,purpose,3
3,process,3
3,plan,3
3,pick,3
3,photo,3
3,period,3
3,peel,3
3,paper,3
3,paint,3
3,pain,3
3,oh,3
3,odor,3
3,november,3
3,nightlight,3
3,n,3
3,muscle,3
3,mold,3
3,mistake,3
3,mid,3
3,mechanism,3
3,manufacture,3
3,maneuver,3
3,locate,3
3,list,3
3,lint,3
3,limit,3
3,lift,3
3,lady,3
3,lack,3
3,knob,3
3,kit,3
3,kinda,3
3,keeper,3
3,jf1,3
3,installation,3
3,infinity,3
3,impression,3
3,image,3
3,ill,3
3,ii,3
3,hour,3
3,hood,3
3,hate,3
3,granddaughter,3
3,gold,3
3,future,3
3,fuse,3
3,functionality,3
3,frieda,3
3,flip,3
3,fast,3
3,etc,3
3,engine,3
3,effect,3
3,drop,3
3,drill,3
3,drawback,3
3,draw,3
3,doubt,3
3,defuser,3
3,cup,3
3,crap,3
3,coverage,3
3,cover,3
3,connect,3
3,confirm,3
3,con,3
3,component,3
3,college,3
3,coil,3
3,chance,3
3,cap,3
3,c,3
3,build,3
3,breaker,3
3,bracket,3
3,bounce,3
3,blade,3
3,bill,3
3,become,3
3,beat,3
3,basis,3
3,barber,3
3,awhile,3
3,attention,3
3,appreciate,3
3,answer,3
3,annoy,3
3,anchor,3
3,alot,3
3,airflow,3
3,addition,3
3,adapter,3
3,accident,3
3,ability,3
3,yr,2
3,write,2
3,worry,2
3,wonder,2
3,whine,2
3,weigh,2
3,wave,2
3,watts,2
3,wash,2
3,w8less,2
3,video,2
3,vacuum,2
3,vacation,2
3,user,2
3,usage,2
3,twin,2
3,tv,2
3,tstudio,2
3,toy,2
3,towel,2
3,toss,2
3,top,2
3,ton,2
3,toggle,2
3,title,2
3,timer,2
3,thrill,2
3,thanks,2
3,tendency,2
3,ten,2
3,teeth,2
3,tax,2
3,system,2
3,swivel,2
3,surround,2
3,surge,2
3,sure,2
3,support,2
3,supply,2
3,suitcase,2
3,sufficient,2
3,suck,2
3,stylist,2
3,stud,2
3,stock,2
3,step,2
3,spread,2
3,sparkle,2
3,smooth,2
3,slow,2
3,slippery,2
3,slip,2
3,sleep,2
3,situation,2
3,sister,2
3,shuts,2
3,shut,2
3,shoe,2
3,shipment,2
3,shaver,2
3,sense,2
3,selector,2
3,secure,2
3,screen,2
3,scar,2
3,scalp,2
3,saw,2
3,rusk,2
3,rush,2
3,ridge,2
3,rewind,2
3,remingtons,2
3,registration,2
3,regard,2
3,read,2
3,reach,2
3,quite,2
3,quiet,2
3,protrude,2
3,print,2
3,prevent,2
3,prepare,2
3,predecessor,2
3,precision,2
3,pound,2
3,post,2
3,penny,2
3,particle,2
3,par,2
3,panel,2
3,output,2
3,online,2
3,offer,2
3,occasion,2
3,norelco,2
3,non,2
3,movement,2
3,mousse,2
3,mk,2
3,miss,2
3,miracle,2
3,mini,2
3,min,2
3,middle,2
3,mess,2
3,melt,2
3,measure,2
3,match,2
3,master,2
3,mark,2
3,march,2
3,man,2
3,malfunction,2
3,magazine,2
3,low,2
3,lose,2
3,leak,2
3,layer,2
3,label,2
3,knock,2
3,jury,2
3,ionizer,2
3,ionize,2
3,investment,2
3,intensity,2
3,insert,2
3,infusions,2
3,indication,2
3,indicate,2
3,increase,2
3,impress,2
3,im,2
3,hurry,2
3,hurricane,2
3,hey,2
3,heavey,2
3,hazard,2
3,hassle,2
3,hairdresser,2
3,haircut,2
3,gym,2
3,gon,2
3,god,2
3,go,2
3,glow,2
3,girlfriend,2
3,girl,2
3,gift,2
3,gent,2
3,gadget,2
3,fyi,2
3,fuzzy,2
3,fuss,2
3,funnel,2
3,fry,2
3,front,2
3,frequency,2
3,frame,2
3,fond,2
3,folds,2
3,flyaways,2
3,fix,2
3,finishing,2
3,finish,2
3,female,2
3,felt,2
3,feels,2
3,feeling,2
3,feedback,2
3,family,2
3,faith,2
3,extreme,2
3,excitement,2
3,exchange,2
3,example,2
3,europe,2
3,equation,2
3,enjoy,2
3,emergency,2
3,email,2
3,elchims,2
3,downside,2
3,dog,2
3,discount,2
3,disappointment,2
3,diffuse,2
3,detect,2
3,detail,2
3,deserve,2
3,describe,2
3,department,2
3,dent,2
3,delivery,2
3,deliver,2
3,defect,2
3,def,2
3,dealer,2
3,deaf,2
3,dark,2
3,cute,2
3,curler,2
3,credit,2
3,create,2
3,cream,2
3,crack,2
3,country,2
3,convince,2
3,convenient,2
3,construct,2
3,conspiracy,2
3,connector,2
3,combination,2
3,cologne,2
3,coat,2
3,coarse,2
3,clumsy,2
3,closet,2
3,client,2
3,cleaner,2
3,clean,2
3,circuit,2
3,christmas,2
3,chord,2
3,choose,2
3,charge,2
3,challenge,2
3,ceramic,2
3,catch,2
3,card,2
3,car,2
3,bump,2
3,bright,2
3,bother,2
3,boar,2
3,blame,2
3,blackbird,2
3,bio,2
3,bezel,2
3,bell,2
3,bc,2
3,bang,2
3,babyliss,2
3,babybliss,2
3,awkward,2
3,attract,2
3,attach,2
3,asthma,2
3,asin,2
3,arthritis,2
3,applicator,2
3,appliance,2
3,angle,2
3,amaze,2
3,allow,2
3,alas,2
3,airplane,2
3,aid,2
3,advice,2
3,advantage,2
3,adjustment,2
3,abuse,2
3,youth,1
3,yesterday,1
3,yep,1
3,yellowbird,1
3,years,1
3,yea,1
3,yank,1
3,ya,1
3,wtf,1
3,wow,1
3,worship,1
3,worker,1
3,woo,1
3,wks,1
3,withstand,1
3,wiring,1
3,winter,1
3,window,1
3,wiggle,1
3,widen,1
3,whwn,1
3,whistle,1
3,wheel,1
3,whatsoever,1
3,whates,1
3,wha,1
3,wet,1
3,weeks,1
3,weekend,1
3,weapon,1
3,wax,1
3,wavy,1
3,waterpik,1
3,wason,1
3,wasa,1
3,walmart,1
3,wallpaper,1
3,walk,1
3,vote,1
3,volleyball,1
3,void,1
3,vloggers,1
3,visor,1
3,visit,1
3,vine,1
3,view,1
3,vibration,1
3,verge,1
3,velcro,1
3,vein,1
3,vase,1
3,variety,1
3,vagabond,1
3,vacate,1
3,v,1
3,uses,1
3,upwards,1
3,unsure,1
3,unplug,1
3,understand,1
3,underneath,1
3,twist,1
3,twinturbo,1
3,twice,1
3,tune,1
3,tun,1
3,tuck,1
3,tt,1
3,trigger,1
3,trick,1
3,treat,1
3,transformer,1
3,town,1
3,tougher,1
3,topple,1
3,tonight,1
3,tone,1
3,tolerate,1
3,tolerance,1
3,toilet,1
3,toe,1
3,toddler,1
3,tin,1
3,times,1
3,timeframe,1
3,till,1
3,til,1
3,tight,1
3,tick,1
3,ti,1
3,thumb,1
3,throat,1
3,thread,1
3,thomas,1
3,tho,1
3,thinner,1
3,thingy,1
3,things,1
3,thingies,1
3,thank,1
3,texture,1
3,text,1
3,tension,1
3,template,1
3,temperate,1
3,technician,1
3,teach,1
3,taste,1
3,tan,1
3,tame,1
3,tak,1
3,tad,1
3,systemic,1
3,sylist,1
3,swirl,1
3,sweaty,1
3,swap,1
3,supplier,1
3,sunbeam,1
3,sun,1
3,summary,1
3,suite,1
3,suit,1
3,success,1
3,subsidiary,1
3,submit,1
3,sub,1
3,stuff,1
3,structure,1
3,strip,1
3,strength,1
3,stream,1
3,straightforward,1
3,straightener,1
3,straight,1
3,straggler,1
3,stink,1
3,stiffness,1
3,sticker,1
3,steam,1
3,staticy,1
3,states,1
3,staples,1
3,staple,1
3,sprawl,1
3,spoil,1
3,spider,1
3,spends,1
3,spend,1
3,specification,1
3,spasm,1
3,spare,1
3,sore,1
3,soooo,1
3,sonicare,1
3,son,1
3,sole,1
3,society,1
3,soap,1
3,snub,1
3,snap,1
3,smoother,1
3,smoky,1
3,smithereens,1
3,smelt,1
3,smack,1
3,sm,1
3,slowly,1
3,slot,1
3,sleek,1
3,sixty,1
3,similiar,1
3,silkiness,1
3,silk,1
3,silicon,1
3,sign,1
3,shower,1
3,shorter,1
3,shopping,1
3,shipping,1
3,ship,1
3,shimmer,1
3,shelf,1
3,shave,1
3,shatter,1
3,setup,1
3,sept,1
3,sensitivity,1
3,sensitive,1
3,sensation,1
3,semi,1
3,self,1
3,seek,1
3,security,1
3,second,1
3,seam,1
3,sea,1
3,scratch,1
3,score,1
3,science,1
3,school,1
3,scale,1
3,saves,1
3,satisfy,1
3,sad,1
3,ruin,1
3,rub,1
3,rpm,1
3,roar,1
3,ritual,1
3,risk,1
3,rip,1
3,ring,1
3,revolution,1
3,retracts,1
3,retractor,1
3,retracting,1
3,retractable,1
3,retail,1
3,restock,1
3,respiratory,1
3,resource,1
3,resort,1
3,reset,1
3,requirement,1
3,request,1
3,repurchase,1
3,reports,1
3,replica,1
3,replacementwill,1
3,repeat,1
3,repaint,1
3,reorder,1
3,remover,1
3,remove,1
3,removal,1
3,remodel,1
3,remind,1
3,remember,1
3,reliable,1
3,release,1
3,regret,1
3,regardless,1
3,refuse,1
3,reflection,1
3,reduction,1
3,redo,1
3,recycle,1
3,record,1
3,recoil,1
3,receiver,1
3,receipt,1
3,reattaching,1
3,reattach,1
3,reasonable,1
3,rear,1
3,realize,1
3,rave,1
3,rattle,1
3,raspberry,1
3,ramp,1
3,raise,1
3,r,1
3,quick,1
3,quarter,1
3,q,1
3,punch,1
3,pun,1
3,pulling,1
3,puff,1
3,provide,1
3,property,1
3,propeller,1
3,prone,1
3,professional,1
3,prob,1
3,pricey,1
3,pressure,1
3,preset,1
3,premium,1
3,prelude,1
3,prefer,1
3,prayer,1
3,pray,1
3,powerfull,1
3,potion,1
3,postage,1
3,portion,1
3,poofy,1
3,poof,1
3,polishes,1
3,policy,1
3,pointy,1
3,plus,1
3,plunge,1
3,ploy,1
3,playing,1
3,plasticy,1
3,plasticky,1
3,plane,1
3,plain,1
3,pixie,1
3,pipe,1
3,pinch,1
3,pik,1
3,pfffft,1
3,peto,1
3,peter,1
3,perfume,1
3,perch,1
3,penetrate,1
3,pefect,1
3,pearlescent,1
3,pearl,1
3,pattern,1
3,past,1
3,pass,1
3,pas,1
3,pardon,1
3,pantheon,1
3,palm,1
3,page,1
3,packs,1
3,ozone,1
3,owner,1
3,owe,1
